Star,TIC,PICid,RA,Dec,GLON,GLAT,VMAG,Period,Priority,Notes
TIC300560295,0300560295,3032263000093,07:31:39.84,-68:07:59.6,279.73124,-21.42572,11.44,20.59,4,tessebs
TIC031273263,0031273263,3032197000611,05:52:24.89,-68:09:34.4,278.2525,-30.5031,11.34,22.57,4,tessebs
TIC355152640,0355152640,3004069000157,08:40:11.15,-65:31:44.1,280.58524,-14.27536,10.71,22.12,4,tessebs
TIC350518984,0350518984,,05:44:44.41,-56:42:54.2,264.90235,-31.42128,9.04,23.92,4,tessebs
TIC372909935,0372909935,,07:57:48.85,-64:12:52.7,277.01828,-17.45861,11.33,3.61,4,tessebs
TIC307488184,0307488184,,08:25:04.53,-67:58:33.6,281.85663,-16.86481,11.08,10.07,4,tessebs
TIC308851582,0308851582,2983097000132,08:10:20.70,-63:44:25.2,277.2543,-16.02255,10.34,4.91,4,tessebs
TIC141685465,0141685465,,06:01:37.06,-73:28:29.7,284.33117,-29.4554,12.24,7.81,4,tessebs
TIC309658221,0309658221,,05:17:00.89,-61:30:52.5,270.77555,-34.80293,10.27,7.59,4,tessebs
TIC167692429,0167692429,2979593000124,06:50:51.85,-63:25:52.0,273.5847,-24.13119,10.87,10.26,4,tessebs
TIC382517745,0382517745,2987611000274,07:49:48.51,-64:02:32.6,276.45631,-18.16999,11.2,10.44,4,tessebs
TIC140659980,0140659980,3072538001236,04:49:53.60,-72:27:45.4,284.4818,-34.781,9.5,9.44,4,tessebs
TIC341193555,0341193555,2923726000231,07:57:01.00,-59:11:26.6,272.31592,-15.24655,11.46,9.72,4,tessebs
TIC260132330,0260132330,2881838000042,06:10:23.29,-56:22:39.8,264.88129,-27.87191,10.28,17.3,4,tessebs
TIC055497281,0055497281,2943098000066,04:46:52.26,-60:36:12.7,270.4398,-38.54973,7.72,14.91,4,tessebs
TIC386166904,0386166904,2858275000032,09:17:03.75,-54:54:04.5,275.2939,-3.97683,10.37,12.36,4,tessebs
TIC177077475,0177077475,3054809000130,06:52:49.62,-70:25:49.1,281.1808,-25.33036,11.02,23.43,4,tessebs
TIC149573659,0149573659,2956912000043,05:46:26.96,-61:41:58.1,270.74412,-31.30089,12.05,4.37,4,tessebs
TIC260128333,0260128333,2928925000121,06:08:31.97,-59:32:28.1,268.41191,-28.4911,11.72,14.61,4,tessebs
TIC382067804,0382067804,2845758000017,05:17:52.95,-54:06:05.4,261.73451,-35.20682,10.51,26.13,4,tessebs
TIC309146836,0309146836,2972673000083,08:15:15.93,-62:54:56.3,276.79894,-15.13229,5.16,5.43,4,tessebs
TIC260502102,0260502102,2920968000069,06:26:03.84,-59:00:58.2,268.16481,-26.20233,11.82,7.32,4,tessebs
TIC118313102,0118313102,,08:34:24.37,-54:40:03.1,271.14489,-8.53724,8.32,9.26,4,tessebs
TIC350479101,0350479101,2922267000037,05:43:10.67,-59:08:41.1,267.7461,-31.6948,9.74,11.92,4,tessebs
TIC382188882,0382188882,2861057000053,05:25:24.72,-55:01:11.6,262.83067,-34.10159,11.07,4.8,4,tessebs
TIC358111274,0358111274,3077052000103,04:39:31.30,-73:04:31.0,285.53019,-35.25838,11.31,43.84,4,tessebs
TIC384031569,0384031569,,09:02:31.64,-56:53:22.4,275.37815,-6.82175,10.5,20.82,4,tessebs
TIC349480752,0349480752,,07:23:26.46,-64:41:31.3,275.95655,-21.0551,8.14,77.73,4,tessebs
TIC308991822,0308991822,,08:12:27.16,-65:32:41.5,279.00896,-16.71018,9.66,8.22,4,tessebs
TIC306580215,0306580215,3023545000255,07:58:58.16,-67:13:56.4,279.91962,-18.68886,10.92,3.5,4,tessebs
TIC407661994,0407661994,3077079001482,05:32:10.30,-73:00:19.5,284.0932,-31.61829,12.15,25.11,4,tessebs
TIC404927661,0404927661,,05:41:57.17,-66:05:31.3,275.9119,-31.63768,9.21,18.54,4,tessebs
TIC404804908,0404804908,3058980004285,05:39:03.22,-70:54:10.2,281.55938,-31.42164,11.42,4.41,4,tessebs
TIC350298314,0350298314,2924925000023,05:34:58.67,-59:20:16.6,267.98078,-32.74217,11.49,47.72,4,tessebs
TIC306635088,0306635088,,07:59:34.14,-69:27:20.6,282.06599,-19.60283,10.57,17.0,4,tessebs
TIC167722708,0167722708,2949524000010,06:53:21.75,-61:09:24.8,271.24377,-23.31655,11.98,35.3,4,tessebs
TIC260504147,0260504147,2864130000133,06:25:43.24,-55:09:42.4,263.94364,-25.54299,9.07,8.42,4,tessebs
TIC055383975,0055383975,2986359000316,05:09:32.04,-64:01:34.3,273.96321,-35.28077,11.96,48.05,4,tessebs
TIC141124793,0141124793,3075583001026,05:21:01.46,-72:50:54.2,284.11002,-32.4512,12.02,5.89,4,tessebs
